sec,secHelpText,group_id,rst_ID,rst_RecTypeID,rst_DetailTypeID,rst_DisplayName,rst_DisplayHelpText,rst_DisplayExtendedDescription,rst_DisplayOrder,rst_DisplayWidth,rst_DisplayHeight,rst_DefaultValue,rst_RecordMatchOrder,rst_CalcFunctionID,rst_CalcFieldMask,rst_RequirementType,rst_NonOwnerVisibility,rst_Status,rst_MayModify,rst_OriginatingDBID,rst_IDInOriginatingDB,rst_MaxValues,rst_MinValues,rst_InitialRepeats,rst_DisplayDetailTypeGroupID,rst_FilteredJsonTermIDTree,rst_PtrFilteredIDs,rst_CreateChildIfRecPtr,rst_PointerMode,rst_PointerBrowseFilter,rst_OrderForThumbnailGeneration,rst_TermIDTreeNonSelectableIDs,rst_ShowDetailCertainty,rst_ShowDetailAnnotation,rst_NumericLargestValueUsed,rst_EntryMask,rst_Modified,rst_LocallyModified,rst_SemanticReferenceURL,rst_TermsAsButtons,rty_ID,rty_Name,rty_OrderInGroup,rty_Description,rty_TitleMask,rty_CanonicalTitleMask,rty_Plural,rty_Status,rty_OriginatingDBID,rty_NameInOriginatingDB,rty_IDInOriginatingDB,rty_NonOwnerVisibility,rty_ShowInLists,rty_RecTypeGroupID,rty_RecTypeModelIDs,rty_FlagAsFieldset,rty_ReferenceURL,rty_AlternativeRecEditor,rty_Type,rty_ShowURLOnEditForm,rty_ShowDescriptionOnEditForm,rty_Modified,rty_LocallyModified,dty_ID,dty_Name,dty_Documentation,dty_Type,dty_HelpText,dty_ExtendedDescription,dty_EntryMask,dty_Status,dty_OriginatingDBID,dty_NameInOriginatingDB,dty_IDInOriginatingDB,dty_DetailTypeGroupID,dty_OrderInGroup,dty_JsonTermIDTree,dty_TermIDTreeNonSelectableIDs,dty_PtrTargetRectypeIDs,dty_FieldSetRectypeID,dty_ShowInLists,dty_NonOwnerVisibility,dty_Modified,dty_LocallyModified,dty_SemanticReferenceURL,trm_TreeID,trm_Label,trm_Description,n_vocabTerms,vocabTerms
Primary information,,1,2278,4,70,Primary information,,,0,0,3,tabs,0,0,,optional,public,open,open,2,2278,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2024-03-15 13:25:07,1,,false,4,Organisation,0,"Organisations (companies, universities, granting bodies, museums, libraries etc.)",[2-2] : [2-1],[2]: [1],Organisations,reserved,2,Organisation,4,viewable,true,14,,false,,,normal,true,true,2021-11-28 08:21:53,true,70,Header 4,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 4,70,139,0,,[],[],0,false,viewable,2021-12-31 05:59:46,true,,,,,,
Primary information,,1,22,4,2,Short name / acronym,"The acronym or short name by which the organisation is known eg. NEH, NLA, LC, ARC, Telstra, Apple",Please provide an extended description for display on rollover ...,1,20,3,,2,0,,recommended,public,approved,open,2,22,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2024-03-15 13:25:07,1,,false,4,Organisation,0,"Organisations (companies, universities, granting bodies, museums, libraries etc.)",[2-2] : [2-1],[2]: [1],Organisations,reserved,2,Organisation,4,viewable,true,14,,false,,,normal,true,true,2021-11-28 08:21:53,true,2,Short name,"Short or familiar name, phrase or acronym used to identify the represented object/entity",freetext,"Short name or acronym, use this for common shortened names or acronyms, eg. ARC for Australian Research Council",,,approved,2,Short Name,2,1,0,,[],[],0,true,viewable,2012-10-19 12:59:23,true,,,,,,
Primary information,,1,21,4,1,Full name of organisation,Full name/title of the organisation - do not abbreviate,,2,60,3,,1,0,,required,public,open,open,2,21,1,1,1,1,,,false,addorbrowse,,0,,false,false,0,,2024-03-15 13:25:07,1,,false,4,Organisation,0,"Organisations (companies, universities, granting bodies, museums, libraries etc.)",[2-2] : [2-1],[2]: [1],Organisations,reserved,2,Organisation,4,viewable,true,14,,false,,,normal,true,true,2021-11-28 08:21:53,true,1,place_name,Name or phrase used to identify the represented object/entity,freetext,"Commonly used name of the place. Do not abbreviate or use hierarchichal naming (put that under country, state etc.)",,,reserved,2,Name,1,1,0,,[],[],0,true,viewable,2024-08-23 15:27:48,true,,,,,,
Primary information,,1,3111,4,132,Alternative name(s),Alternative or past names of the organisation,,3,40,0,,0,0,,optional,public,open,open,2,3111,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2024-03-15 13:25:07,1,,false,4,Organisation,0,"Organisations (companies, universities, granting bodies, museums, libraries etc.)",[2-2] : [2-1],[2]: [1],Organisations,reserved,2,Organisation,4,viewable,true,14,,false,,,normal,true,true,2021-11-28 08:21:53,true,132,alternative_names,,freetext,"Alternative names or titles, use for simple alternatives where additional metadata is not needed.",,,open,3,Title - alternate,1009,1,0,,[],[],0,true,viewable,2024-09-24 11:33:39,true,,,,,,
Primary information,,1,23,4,22,Organisation type,The type or role of the organisation within the database - may be multiple roles,Please provide an extended description for display on rollover ...,4,60,3,,0,0,,recommended,public,reserved,open,2,23,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2024-03-15 13:25:07,1,,false,4,Organisation,0,"Organisations (companies, universities, granting bodies, museums, libraries etc.)",[2-2] : [2-1],[2]: [1],Organisations,reserved,2,Organisation,4,viewable,true,14,,false,,,normal,true,true,2021-11-28 08:21:53,true,22,Organisation type,Term categorising the organisation object type,enum,"Type of organisation, extend list as required",,,open,2,Organisation type,22,135,0,497,[],[],0,true,viewable,2021-03-11 23:42:13,true,,497,Organisation type,,25,"{Funding body={'description': NULL, 'url': NULL, 'id': 12}, Network={'description': NULL, 'url': NULL, 'id': 13}, Data service={'description': NULL, 'url': NULL, 'id': 14}, Department={'description': NULL, 'url': NULL, 'id': 15}, Laboratory={'description': NULL, 'url': NULL, 'id': 16}, Centre={'description': NULL, 'url': NULL, 'id': 17}, Foundation={'description': NULL, 'url': NULL, 'id': 18}, Ecole Superieure={'description': NULL, 'url': NULL, 'id': 19}, Institute={'description': NULL, 'url': NULL, 'id': 20}, Museum={'description': NULL, 'url': NULL, 'id': 21}, Government department={'description': NULL, 'url': NULL, 'id': 128}, Federal government={'description': NULL, 'url': NULL, 'id': 129}, Company={'description': NULL, 'url': NULL, 'id': 130}, NGO={'description': NULL, 'url': NULL, 'id': 131}, Charity={'description': NULL, 'url': NULL, 'id': 132}, Other - ask admin to define={'description': NULL, 'url': NULL, 'id': 133}, University - for-profit/private={'description': NULL, 'url': NULL, 'id': 518}, University={'description': NULL, 'url': NULL, 'id': 519}, Publisher={'description': NULL, 'url': NULL, 'id': 5431}, Traditional owners={'description': NULL, 'url': NULL, 'id': 6847}, Library={'description': NULL, 'url': NULL, 'id': 6848}, Holding institution={'description': NULL, 'url': NULL, 'id': 6849}, Collectors={'description': NULL, 'url': NULL, 'id': 6850}, Monastery={'description': NULL, 'url': NULL, 'id': 6874}, Religious order={'description': NULL, 'url': NULL, 'id': 6875}}"
Primary information,,1,30,4,39,Logo or representative image,"Thumbnail image representing the organisaiton eg. logo, up to 400 wide, for display normally 100 - 200 wide in search results, lists and reports.",,5,60,3,,0,0,,recommended,public,approved,open,2,30,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2024-03-15 13:25:07,1,,false,4,Organisation,0,"Organisations (companies, universities, granting bodies, museums, libraries etc.)",[2-2] : [2-1],[2]: [1],Organisations,reserved,2,Organisation,4,viewable,true,14,,false,,,normal,true,true,2021-11-28 08:21:53,true,39,Primary / preferred image,Please document the nature of this detail type (field)) ...,file,"The representative image used in record view, in search results and in other compact listings",,,reserved,2,Thumbnail image,39,132,0,,[],[],0,true,viewable,2022-11-03 11:51:16,true,,,,,,
Primary information,,1,24,4,3,Short description,"Short description of the organisation, typically used in annotated listings, information popups and so forth. Aim for 100 - 200 words.",,6,80,3,,0,0,,recommended,public,open,open,2,24,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2024-03-15 13:25:07,1,,false,4,Organisation,0,"Organisations (companies, universities, granting bodies, museums, libraries etc.)",[2-2] : [2-1],[2]: [1],Organisations,reserved,2,Organisation,4,viewable,true,14,,false,,,normal,true,true,2021-11-28 08:21:53,true,3,Short summary,Short summary or description of the object/entity,blocktext,"Short summary, typically used in annotated listings, information popups and so forth. Aim for 100 - 200 words.",,,reserved,2,Short summary,3,1,0,,[],[],0,true,viewable,2012-10-15 12:07:35,true,,,,,,
Primary information,,1,25,4,10,Start date,Date (year or year-month or year-month-day) the organisation was founded,Note that this detail describes a temporal object and can be used to describe dates that have a level of uncertainty,7,10,3,,0,0,,optional,public,approved,open,2,25,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2024-03-15 13:25:07,1,,false,4,Organisation,0,"Organisations (companies, universities, granting bodies, museums, libraries etc.)",[2-2] : [2-1],[2]: [1],Organisations,reserved,2,Organisation,4,viewable,true,14,,false,,,normal,true,true,2021-11-28 08:21:53,true,10,Start date,Date representing the beginning of real/conceptual object/entity ,date,Start Date (or birth/creation) - may also include time and/or have fuzzy limits,Note that this detail describes a temporal object and can be used to describe dates that have a level of uncertainty,,reserved,2,Start date,10,1,0,,[],[],0,true,viewable,2021-12-30 18:32:23,true,,,,,,
Primary information,,1,26,4,11,End date,Date the organisation was wound up/ closed / ceased to exist,Please provide an extended description for display on rollover ...,8,10,3,,0,0,,optional,public,approved,open,2,26,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2024-03-15 13:25:07,1,,false,4,Organisation,0,"Organisations (companies, universities, granting bodies, museums, libraries etc.)",[2-2] : [2-1],[2]: [1],Organisations,reserved,2,Organisation,4,viewable,true,14,,false,,,normal,true,true,2021-11-28 08:21:53,true,11,End date,Date representing the ending of real/conceptual object/entity,date,End Date (or death/destruction) - may also include time and/or have fuzzy limits,Please provide an extended description for display on rollover ...,,reserved,2,End date,11,1,0,,[],[],0,true,viewable,2021-12-30 18:32:17,true,,,,,,
Primary information,,1,3174,4,9,Thumbnail,An image of approx. 200 pixels wide used to represent the record in search results and other compact listings,,9,60,3,,0,0,,recommended,public,open,open,2,3174,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2024-03-15 13:25:07,1,,false,4,Organisation,0,"Organisations (companies, universities, granting bodies, museums, libraries etc.)",[2-2] : [2-1],[2]: [1],Organisations,reserved,2,Organisation,4,viewable,true,14,,false,,,normal,true,true,2021-11-28 08:21:53,true,9,Date,Generic date,date,The single or principal date of the record (may also include time and/or have fuzzy limits),,,reserved,2,Date,9,1,0,,[],[],0,true,viewable,2024-09-05 10:10:22,true,,,,,,
Primary information,,1,2600,4,27,Location,Name of location where organisation is located,Please provide an extended description for display on rollover ...,9,40,3,,0,0,,optional,public,open,open,2,2600,0,0,1,105,,,false,addorbrowse,,0,,false,false,0,,2024-03-15 13:25:07,1,,false,4,Organisation,0,"Organisations (companies, universities, granting bodies, museums, libraries etc.)",[2-2] : [2-1],[2]: [1],Organisations,reserved,2,Organisation,4,viewable,true,14,,false,,,normal,true,true,2021-11-28 08:21:53,true,27,Place name,Term or phrase identifying the location associated with the object/entity,freetext,"The name of a place or location, eg. city, town, suburb, village, locality",,,reserved,2,Place name,27,114,0,,[],[],0,true,viewable,2017-01-15 17:14:56,true,,,,,,
Related files,An uploaded file or a reference to a file through a URI,2,3175,4,8,Related files,An uploaded file or a reference to a file through a URI,This detail acknowledges that a given piece of data may have many commentaries or interpretations.,10,60,3,,0,0,,optional,public,open,open,2,3175,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2024-03-15 13:25:07,1,,false,4,Organisation,0,"Organisations (companies, universities, granting bodies, museums, libraries etc.)",[2-2] : [2-1],[2]: [1],Organisations,reserved,2,Organisation,4,viewable,true,14,,false,,,normal,true,true,2021-11-28 08:21:53,true,8,Comments on relationship,Record pointer constrained to commentary records,resource,"A pointer to a commentary/interpretation record (for spatial, temporal or general information)",This detail acknowledges that a given piece of data may have many commentaries or interpretations.,,reserved,2,Pointer to commentary,8,99,0,,[],[8],0,false,viewable,2017-01-15 18:31:00,true,,,,,,
Related files,An uploaded file or a reference to a file through a URI,2,1408,4,58,Description,,,10,0,3,tabs,0,0,,forbidden,public,open,open,2,1408,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2024-03-15 13:25:07,1,,false,4,Organisation,0,"Organisations (companies, universities, granting bodies, museums, libraries etc.)",[2-2] : [2-1],[2]: [1],Organisations,reserved,2,Organisation,4,viewable,true,14,,false,,,normal,true,true,2021-11-28 08:21:53,true,58,Header 2,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 2,58,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
Related files,An uploaded file or a reference to a file through a URI,2,2407,4,245,People involved,"People who participate in an organisation, event, ownership etc.",,11,0,3,,0,0,,optional,public,open,open,2,2407,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2024-03-15 13:25:07,1,,false,4,Organisation,0,"Organisations (companies, universities, granting bodies, museums, libraries etc.)",[2-2] : [2-1],[2]: [1],Organisations,reserved,2,Organisation,4,viewable,true,14,,false,,,normal,true,true,2021-11-28 08:21:53,true,245,Participant person(s),Please document the nature of this detail type (field)) ...,relmarker,"People who participate in an organisation, event, ownership etc.",,,open,2,Participant person(s),245,108,0,5414,[],[10],0,true,viewable,2021-03-12 10:37:45,true,,5414,5. Participation,,2,"{Administrative={'description': NULL, 'url': NULL, 'id': 5418}, Participant={'description': NULL, 'url': NULL, 'id': 5419}}"
Related files,An uploaded file or a reference to a file through a URI,2,3176,4,12,Short description,"Short summary, typically used in annotated listings, information popups and so forth. Aim for 100 - 200 words.",Please provide an extended description for display on rollover ...,11,60,3,,0,0,,recommended,public,open,open,2,3176,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2024-03-15 13:25:07,1,,false,4,Organisation,0,"Organisations (companies, universities, granting bodies, museums, libraries etc.)",[2-2] : [2-1],[2]: [1],Organisations,reserved,2,Organisation,4,viewable,true,14,,false,,,normal,true,true,2021-11-28 08:21:53,true,12,Heurist Query String,Heurist Query String,blocktext,A string representing a valid Heurist query,Please provide an extended description for display on rollover ...,,reserved,2,Query String,12,101,0,,[],[],0,true,viewable,2020-11-22 23:09:31,false,,,,,,
Related files,An uploaded file or a reference to a file through a URI,2,1410,4,17,Contact details or URL,"Contact details, either as text or a URL to eg. a phonebook record or search",,12,120,3,,0,0,,optional,public,approved,open,2,1410,0,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2024-03-15 13:25:07,1,,false,4,Organisation,0,"Organisations (companies, universities, granting bodies, museums, libraries etc.)",[2-2] : [2-1],[2]: [1],Organisations,reserved,2,Organisation,4,viewable,true,14,,false,,,normal,true,true,2021-11-28 08:21:53,true,17,Contact details or URL,Please document the nature of this detail type (field)) ...,freetext,"Contact details, either as text or a URL to eg. a phonebook record or search",,,approved,2,Contact details or URL,17,8,0,,[],[],0,true,viewable,2012-06-19 09:04:02,true,,,,,,
Related files,An uploaded file or a reference to a file through a URI,2,1409,4,4,Extended description,An extended description of the organisation. However more detailed information can be attached as PDF or other documents,,13,120,20,,0,0,,optional,public,approved,open,2,1409,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2024-03-15 13:25:07,1,,false,4,Organisation,0,"Organisations (companies, universities, granting bodies, museums, libraries etc.)",[2-2] : [2-1],[2]: [1],Organisations,reserved,2,Organisation,4,viewable,true,14,,false,,,normal,true,true,2021-11-28 08:21:53,true,4,Extended description,Extended description of the object/entity,blocktext,"An extended description, use this for free-format description up to 64K latin or 32K UTF characters",,,approved,2,Extended description,4,1,0,,[],[],0,true,viewable,2020-01-14 23:10:33,true,,,,,,
Location information,,3,1431,4,69,Location information,,,14,0,3,tabs,0,0,,forbidden,public,open,open,2,1431,1,0,1,1,,,false,addorbrowse,,0,,false,false,0,,2024-03-15 13:25:07,1,,false,4,Organisation,0,"Organisations (companies, universities, granting bodies, museums, libraries etc.)",[2-2] : [2-1],[2]: [1],Organisations,reserved,2,Organisation,4,viewable,true,14,,false,,,normal,true,true,2021-11-28 08:21:53,true,69,Header 3,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 3,69,139,0,,[],[],0,false,viewable,2021-12-31 05:59:45,true,,,,,,
